CODIGO;MERCADORIA;ESTOQUE;PRECO;OFERTA
1715;(ARMARIO) BALCÃO UNION JOSAN - BRANCO;1;650;NAO
1716;(ARMARIO) BALCÃO UNION JOSAN - URBAN/OFF;1;650;NAO
1890;(ARMARIO) GAVETEIRO UNION JOSAN- CAM/OFF;1;650;NAO
0893;ARMARIO MULTIUSO JOSAN FREE - AMENDOA;1;360;NAO
1945;ASPIRADOR ELECTROLUX 1400W PRETO 220V;1;450;NAO
0021;BASE (CASAL) BELLO 138 X 31;1;350;NAO
1021;BASE (QUEEN) SUDOESTE JUPITER 158 X 30 CM;1;390;NAO
1664;BASE (QUEEN) SUDOESTE UNIVERSAL 158 X 30 CM;1;400;NAO
1820;BASE (SOLTEIRO) PLUMATEX SMART BEGE 088 X 30;1;270;NAO
1974;BASE (SOLTEIRO) SUDOESTE 88 X 30;1;250;NAO
0951;BEBEDOURO AGUA PREMIUM BR COLORMARQ;1;690;NAO
1670;CABECEIRA GRECIA SLIM 1,40M COR74 GRUPOIII;1;420;NAO
1671;CABECEIRA GRECIA SLIM 1,40M COR76 GRUPOIII;1;420;NAO
1672;CABECEIRA GRECIA SLIM 1,60M COR76 GRUPOIII;1;450;NAO
1674;CABECEIRA MANU SLIM 1,40M COR76 GRUPOIII;1;500;NAO
0119;CABECEIRA P. BOX CASAL ARIZONA TCIL - CACAU/CACAU;1;280;NAO
1740;CABECEIRA P. BOX CASAL ARIZONA TCIL - NEVE/NEVE;1;280;NAO
0940;CABECEIRA P. BOX CASAL DACAR TCIL - CINAMOMO;1;370;NAO
1961;CAFETEIRA ELETRICA BRITANIA 220V;1;160;SIM
1761;CAIXA DE SOM MONDIAL 400W RMS BLUETOOTH CM-400;1;575;NAO
2034;CAIXA DE SOM PORTÁTIL SLIM BLACK 80W;1;190;NAO
2027;CAIXA DE SOM PORTÁTIL SUMAY RAVENA 400W;1;550;NAO
1891;CENTRIFUGA DE ROUPA S/TIMER CESTO INOX;1;650;NAO
1834;CHALEIRA ELETRICA BENE CASA;1;95;SIM
1043;CHURRASQUEIRA ELETRICA BRITANIA 220V;1;200;SIM
2050;CLIMATIZADOR 65L ELGIN 220 V;1;1260;NAO
2029;CLIMATIZADOR 70L SUMAY 220V;1;1600;NAO
1087;COLCHÃO (CASAL) PLUMATEX FALCON INTENSE 138 X 20;1;740;NAO
1445;COLCHÃO (CASAL) SUDOESTE DREAMS D20 128X14;1;390;NAO
1667;COLCHÃO (CASAL) SUDOESTE ISODREAM D45 138 X 24CM;1;1030;NAO
1086;COLCHÃO (QUEEN) PLUMATEX VELVET 158 X 32;1;1120;NAO
1022;COLCHÃO (QUEEN) SUDOESTE JUPITER ENSACADO 158 X 30;1;1190;NAO
1019;COLCHÃO (SOLTEIRO) GAZIN ESPUMA DREAM D20 88 X 14;1;300;NAO
1089;COLCHÃO (SOLTEIRO) PLUMATEX SELECTUS D33 88 X 22;1;450;NAO
0027;COMODA ALBATROZ ESMERALDA - CARVALHO GRIFE/OFF;1;490;NAO
0028;COMODA ALBATROZ VENEZA - CARVALHO GRIFE/OFF-WHITE;1;520;NAO
0063;COMODA DEMOBILE MONTEVIDEU - BRANCO/ROSA;1;520;NAO
0062;COMODA DEMOBILE MONTEVIDEU - NOGAL/VANILL;1;520;NAO
1075;COMODA JOSAN FREE - AMENDOA/OFF-WHITE;1;440;NAO
1923;CON. DE MESA 6 CAD LAVINEA - PTO FLORAL BRANCO;1;750;NAO
1922;CONJ. DE MESA 6 CAD LAVINEA - BRANCO;1;750;NAO
1924;CONJ. DE MESA 6 CAD LAVINEA - MT. PRATA;1;750;NAO
1438;CONJ. PARIS C/4 CAD QD 75 X75 BRANCO LAQ/ PRETO;1;730;NAO
1044;ESPREMEDOR MONDIAL ULTRA E-03 BCO 220V;1;90;NAO
0124;ESTOFADO (3 X 2 LUG) MASTER CHANEL SUEDE PENA;1;1600;NAO
1130;ESTOFADO (CANTO) BELLO CHILE INCA 17 MARRON;1;1950;NAO
1054;FECHADURA PORTA ACO TETRA1201PF ST;1;57,62;NAO
